,Id,TagName,Count,ExcerptPostId,WikiPostId
181,312,fuzzy-logic,10,,
182,313,weka,22,18889,18888
183,315,scraping,23,,
184,317,xgboost,157,12577,12576
185,319,data-wrangling,14,,
186,320,data-product,4,,
187,321,tensorflow,344,9183,9182
188,322,excel,17,,
189,323,semi-supervised-learning,11,,
190,324,keras,379,9251,9250
191,325,azure-ml,23,9253,9252
192,327,machine-translation,15,,
193,328,data-imputation,19,,
194,329,gensim,35,10237,10236
195,330,lsi,4,,
196,331,model-selection,60,,
197,332,feature-engineering,110,25556,25555
198,333,hinge-loss,2,9986,9985
199,334,stata,3,,
200,335,text,51,,
201,337,json,12,,
202,340,reinforcement-learning,113,9674,9673
203,341,q-learning,34,9676,9675
204,342,google-prediction-api,6,,
205,344,ab-test,26,,
206,345,nltk,48,10023,10022
207,346,apache-kafka,3,,
208,347,pybrain,3,,
209,348,word2vec,108,12733,12732
210,351,convergence,4,,
211,352,pgm,4,9830,9829
212,354,parameter-estimation,27,,
213,356,bayesian-networks,22,,
214,358,orange,78,9921,9920
215,359,churn,10,,
216,360,naive-bayes-classifier,60,9984,9983
217,361,image-recognition,60,10017,10016
218,362,market-basket-analysis,12,,
219,363,association-rules,27,,
220,364,audio-recognition,26,,
221,365,rbm,16,10129,10128
222,366,interpolation,3,10137,10136
223,367,recommender-system,165,25261,25260
224,368,regularization,33,,
225,370,dbscan,11,,
226,372,pca,76,23174,23173
227,373,randomized-algorithms,7,,
228,374,rnn,153,10591,10590
229,376,labels,20,,
230,377,tsne,23,23176,23175
231,378,manifold,4,,
232,380,stanford-nlp,19,10929,10928
233,382,dropout,19,,
234,383,training,92,,
235,386,amazon-ml,8,,
236,388,geospatial,14,11343,11342
237,389,sequential-pattern-mining,21,,
238,393,gpu,36,,
239,395,jaccard-coefficient,3,,
240,396,pyspark,43,,
241,397,jupyter,25,,
242,398,sentiment-analysis,56,,
243,400,torch,9,,
244,401,competitions,2,,
245,402,overfitting,43,,
246,403,powerbi,5,,
247,407,prediction,94,,
248,409,score,6,,
249,410,encoding,22,,
250,411,spss,4,,
251,412,gaussian,18,,
252,415,mutual-information,7,,
253,416,bayesian,23,,
254,422,etl,4,,
255,426,master-algorithm,2,,
256,427,graphical-model,16,,
257,434,domain-adaptation,5,,
258,437,methodology,10,,
259,438,theory,13,,
260,439,reductions,2,,
261,442,distribution,27,,
262,443,text-generation,7,,
263,444,estimators,6,,
264,445,information-theory,14,,
265,450,cost-function,29,,
266,452,data-augmentation,11,,
267,454,opencpu,2,,
268,455,data.table,5,,
269,457,inception,22,,
270,458,caffe,14,,
271,459,redshift,3,17602,17601
272,461,text-filter,5,,
273,464,management,3,,
274,465,variance,6,,
275,466,regex,8,,
276,467,noisification,2,,
277,468,privacy,3,,
278,469,stop-words,1,,
279,470,vc-theory,3,,
280,471,search-engine,5,,
281,473,community,3,,
282,474,monte-carlo,5,,
283,476,pytorch,20,16990,16989
284,478,dirichlet,2,,
285,480,plotting,35,,
286,481,matrix-factorisation,15,,
287,482,convolution,63,,
288,483,active-learning,2,,
289,484,tokenization,3,,
290,485,linux,4,,
291,486,data-leakage,3,,
292,487,gan,37,24887,24886
293,488,rattle,3,17451,17450
294,491,embeddings,6,,
295,499,ocr,13,25247,25246
296,502,linear-algebra,8,,
297,504,similar-documents,16,,
298,505,representation,2,,
299,510,lda-classifier,5,,
300,511,perceptron,18,,
301,512,automatic-summarization,6,,
302,513,nvidia,4,,
303,514,alex-net,3,,
304,519,smote,7,,
305,520,class-imbalance,22,,
306,521,dataframe,22,,
307,522,classifier,11,,
308,523,tesseract,2,,
309,524,vector-space-models,3,,
310,527,lstm,97,25536,25535
311,528,forecasting,11,,
312,530,mnist,13,25538,25537
313,532,tfidf,12,,
314,533,learning-rate,4,,
315,534,twitter,3,,
316,535,cloud,3,,
317,537,batch-normalization,7,22487,22486
318,538,word,2,,
319,539,generative-models,14,,
320,540,go,1,,
321,541,notification,1,,
322,542,alert,1,,
323,548,overestimation,1,,
324,549,poisson-regression,1,,
325,550,game,3,23308,23307
326,551,dataiku,1,,
327,552,ngrams,3,,
328,554,meta-learning,5,,
329,555,ensemble,3,,
330,556,pac-learning,2,24318,24317
331,557,cnn,79,28890,28889
332,558,tranformation,3,,
333,559,seaborn,3,,
334,560,historgram,3,,
335,561,counts,2,,
336,562,numpy,14,,
337,564,activation-function,17,,
338,565,cloud-computing,3,,
339,566,homework,4,,
340,567,keras-rl,1,24515,24514
341,568,openai-gym,2,,
342,569,dqn,3,,
343,570,mini-batch-gradient-descent,8,,
344,571,neural-style-transfer,2,,
345,572,noise,2,,
346,575,yolo,5,,
347,576,ibm-watson,2,,
348,577,speech-to-text,3,,
349,580,matplotlib,5,,
350,581,tflearn,6,,
351,582,learning-to-rank,1,,
352,583,anomaly,2,,
353,584,actor-critic,2,,
354,585,grid-search,6,,
355,586,hyperparameter-tuning,6,,
356,587,bayes-error,1,,
357,588,transfer-learning,7,26090,26089
358,590,mod,1,,
359,591,kernel,6,,
360,593,reshape,1,,
361,594,project-planning,2,,
362,596,scipy,3,,
363,598,bias,2,,
364,599,markov-hidden-model,1,,
365,600,math,4,,
366,601,recurrent-neural-net,7,,
367,602,sequence-to-sequence,5,,
368,603,natural-language-process,9,,
369,604,data-munging,1,,
370,605,svr,1,,
371,606,vgg16,2,,
372,607,object-detection,5,,
373,608,automation,1,,
374,609,glorot-initialization,1,,
375,610,faster-rcnn,2,,
376,611,ensemble-learning,3,,
377,612,k-nn,2,,
378,613,hardware,2,,
379,614,ai,2,,
380,615,decay,1,,
381,616,vision,1,,
382,617,colab,1,,
383,618,data-science-model,6,,
384,619,machine-learning-model,8,,
385,620,design-language,1,,
386,621,mlp,2,,
387,622,resolution,1,,
388,623,annotation,1,,
389,624,normal-equation,1,,
